RulesName,Priority,Action,IPAddressRulesName,Protocol,Source type,Source,Destination type,Destination Addresses,Destination Ports
DEV-CWS,30005,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
DEV-DMS,30015,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
DEV-DTO,30025,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
DEV-IFCA27,30035,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
DEV-IFCA31,30045,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
DEV-QVIEW,30055,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
DEV-SQMSMS,30065,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-CODA,30075,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-CWS,30085,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-DMS,30095,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-DTO,30105,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-EGIS,30115,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-ELYWSS,30125,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-EVP,30135,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-GIS,30145,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-GUTHR,30155,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-IFCA27,30165,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-IFCA31,30175,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-IFCAM,30185,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-KLGCC,30195,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-MGUIDE,30205,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-NEGARA,30215,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-QRADAR,30225,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-QVIEW,30235,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-RAPID4,30245,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-SPOINT,30255,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-SQMSMS,30265,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-STAGDB,30275,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
PROD-WRSF,30285,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
SHARED-ADCA,10005,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
SHARED-AD,10015,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
SHARED-FSVR,10025,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
SHARED-RADIUS,10035,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
SHARED-SCCM,10045,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
SHARED-SMTP,10055,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
SHARED-SYMT,10065,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
SHARED-UBNT,10075,Allow,web,"TCP, UDP, ICMP, Any",IP address,*,IP address,*,"80, 443, 8080"
